Produktname,Bestellnummer,Preis (€ inkl. MwSt.),Lieferzeit,Stromart (V/Hz),Druck (bar/MPa),Fördermenge (l/h),Flächenleistung (m²/h),Zulauftemperatur (°C),Anschlussleistung (kW),Anschlusskabel (m),Farbe,Gewicht ohne Zubehör (kg),Gewicht inkl. Verpackung (kg),Abmessungen (L × B × H) (mm),Lieferumfang,Ausstattung
K 3 Premium Power Control,1.602-750.0,189.99,3-4 Werktage,220 - 240 / 50 - 60,20 - max. 120 / 2 - max. 12,max. 380,25,max. 40,1.6,5,gelb,5.6,7.9,340 x 281 x 677,"G 120 Q Power Control, Vario Power Jet, Dreckfräser, HD-Schlauch 7 m, Adapter Gartenschlauchanschluss A3/4""","Integrierte HD-Schlauchtrommel, Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über Tank, Integrierter Wasserfilter"
K 3 Horizontal Plus,1.602-823.0,nicht verfügbar,nicht verfügbar,220 - 240 / 50 - 60,20 - max. 120,max. 380,25,max. 40,1.6,5,gelb,3.6,5.5,380 x 197 x 264,"G 120 Q, Vario Power Jet, Dreckfräser, HD-Schlauch 5 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über Ansaugschlauch, Integrierter Wasserfilter, Kabelaufwicklung"
K 2 Premium FJ,1.673-537.0,119.99,3-4 Werktage,220 - 240 / 50 - 60,max. 110 / max. 11,max. 360,20,max. 40,1.4,5,gelb,4.2,6.5,242 x 285 x 790,"Schaumdüse, Autoshampoo gebrauchsfertig RM 562, G 120 Q, 1-fach-Strahlrohr, Dreckfräser, HD-Schlauch 4 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über Ansaugschlauch, Integrierter Wasserfilter"
K 2 Battery,1.117-200.0,209.99,3-4 Werktage,Akku-Gerät / 36-V-Akkuplattform,max. 110,340,nicht angegeben,max. 40,nicht angegeben,nicht anwendbar,gelb,4.5,7.6,245 x 303 x 629,"G 120 Q Boost, 1-fach-Strahlrohr, Dreckfräser, HD-Schlauch 4 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Integrierte Zubehöraufbewahrung, Wasseransaugung, Reinigungsmittelsystem über Ansaugschlauch"
K 2 Classic,1.673-570.0,79.99,3-4 Werktage,220 - 240 / 50 - 60,max. 110 / max. 11,max. 360,20,max. 40,1.4,5,gelb,3.4,4.6,178 x 219 x 415,"G 120 Q, 1-fach-Strahlrohr, Dreckfräser, HD-Schlauch 3 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Integrierter Wasserfilter"
K 2 Power Control,1.673-600.0,112.49,3-4 Werktage,220 - 240 / 50 - 60,20 - max. 110 / 2 - max. 11,max. 360,20,max. 40,1.4,5,gelb,4,5.6,246 x 280 x 586,"Hochdruckpistole: G 120 Q, Vario Power Jet, Click Vario Power-Strahlohr, Dreckfräser, HD-Schlauch: 5 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über: Ansaugung, Teleskopgriff, Integrierter Wasserfilter"
K 2 Power Control Car & Home,1.673-607.0,152.49,3-4 Werktage,220 - 240 / 50 - 60,20 - max. 110 / 2 - max. 11,max. 360,20,max. 40,1.4,5,gelb,4,7.8,246 x 280 x 586,"Home Kit: Flächenreiniger T 1, Reinigungsmittel Patio & Deck 0,5 l; Car Kit: Waschbürste, Schaumdüse, Reinigungsmittel Autoshampoo 0,5 l, G 120 Q, Vario Power Jet, Click Vario Power-Strahlohr, Dreckfräser, HD-Schlauch 5 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über Ansaugung, Teleskopgriff, Integrierter Wasserfilter"
K 2 Premium FJ Home,1.673-538.0,149.99,3-4 Werktage,220 - 240 / 50 - 60,max. 110 / max. 11,max. 360,20,max. 40,1.4,5,gelb,4.2,7.8,242 x 285 x 790,"Home Kit: Flächenreiniger T 1, Reinigungsmittel Patio & Deck 0,5 l, Strahlrohrverlängerung, Schaumdüse, Reinigungsmittel Autoshampoo gebrauchsfertig RM 562, G 120 Q, 1-fach-Strahlrohr, Dreckfräser, HD-Schlauch 4 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über Ansaugschlauch, Integrierter Wasserfilter"
K 2 Premium Horizontal VPS Home,1.600-938.0,129.99,3-4 Werktage,220 - 240 / 50 - 60,20 - max. 110,max. 360,20,max. 40,nicht angegeben,nicht angegeben,gelb,3.5,7.2,380 x 197 x 264,"Home Kit: Flächenreiniger T 1, Reinigungsmittel Patio & Deck 0,5 l, G 120 Q, Vario Power Jet, Dreckfräser, HD-Schlauch 4 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über Ansaugschlauch, Integrierter Wasserfilter, Kabelaufwicklung"
K 2 Battery Set,1.117-220.0,nicht verfügbar,nicht verfügbar,Akku-Gerät / 36-V-Akkuplattform,max. 110,340,nicht angegeben,max. 40,nicht angegeben,nicht anwendbar,gelb,4.5,8.5,245 x 303 x 629,"Akku 36 V / 5,0 Ah Battery Power, Ladegerät 36 V Standard, G 120 Q Boost, 1-fach-Strahlrohr, Dreckfräser, HD-Schlauch 4 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über Ansaugschlauch, Integrierter Wasserfilter, Integrierte Zubehöraufbewahrung"
K 2 Horizontal VPS,1.600-941.0,79.99,3-4 Werktage,220 - 240 / 50 - 60,20 - max. 110,max. 360,20,max. 40,1.4,5,gelb,3.5,4.9,380 x 197 x 248,"G 120 Q, Vario Power Jet, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über Ansaugschlauch, Integrierter Wasserfilter, Kabelaufwicklung"
K 2 Power Control Home,1.673-603.0,142.49,3-4 Werktage,220 - 240 / 50 - 60,20 - max. 110 / 2 - max. 11,max. 360,20,max. 40,1.4,5,gelb,4,6.7,246 x 280 x 586,"Home Kit: Flächenreiniger T 1, Reinigungsmittel Patio & Deck 0,5 l, G 120 Q, Vario Power Jet, Click Vario Power-Strahlohr, Dreckfräser, HD-Schlauch 5 m, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Reinigungsmitteleinsatz über Ansaugung, Teleskopgriff, Integrierter Wasserfilter"
K 2 Universal Edition,1.673-010.0,74.99,3-4 Werktage,220 - 240 / 50 - 60,110 / 11,max. 360,20,max. 40,1.4,nicht angegeben,gelb,3.8,4.6,182 x 280 x 390,"Hochdruckpistole: G 120 Q, Dreckfräser, HD-Schlauch: 3 m, Adapter Gartenschlauchanschluss A3/4""",Integrierter Wasserfilter
K 2 Universal Edition Home,1.673-006.0,104.99,3-4 Werktage,220 - 240 / 50 - 60,110 / 11,max. 360,20,max. 40,1.4,nicht angegeben,gelb,3.8,6,182 x 280 x 390,"Home Kit: Flächenreiniger T 1, Reinigungsmittel Patio & Deck 0,5 l, Hochdruckpistole: G 120 Q, Dreckfräser, HD-Schlauch: 3 m, Adapter Gartenschlauchanschluss A3/4""",Integrierter Wasserfilter
K Mini,1.600-054.0,nicht verfügbar,nicht verfügbar,220 - 240 / 50 - 60,20 - max. 110 / 2 - max. 11,max. 360,20,max. 40,1.4,5,gelb,3.9,5.8,278 x 233 x 296,"Strahlrohrverlängerung, G 110 Q Short, Vario Power Jet, HD-Schlauch 5 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4""","Geräteseitiges Quick Connect, Integrierter Wasserfilter, Kabelaufwicklung"
